,New_ID,Year,Period,Value,Date
0,1, 2021, 12/01, 3.9, 12/01/ 2021
1,2, 2021, 11/01, 4.2, 11/01/ 2021
2,3, 2021, 10/01, 4.6, 10/01/ 2021
3,4, 2021, 09/01, 4.7, 09/01/ 2021
4,5, 2021, 08/01, 5.2, 08/01/ 2021
5,6, 2021, 07/01, 5.4, 07/01/ 2021
6,7, 2021, 06/01, 5.9, 06/01/ 2021
7,8, 2021, 05/01, 5.8, 05/01/ 2021
8,9, 2021, 04/01, 6.0, 04/01/ 2021
9,10, 2021, 03/01, 6.0, 03/01/ 2021
10,11, 2021, 02/01, 6.2, 02/01/ 2021
11,12, 2021, 01/01, 6.4, 01/01/ 2021
12,13, 2020, 12/01, 6.7, 12/01/ 2020
13,14, 2020, 11/01, 6.7, 11/01/ 2020
14,15, 2020, 10/01, 6.9, 10/01/ 2020
15,16, 2020, 09/01, 7.9, 09/01/ 2020
16,17, 2020, 08/01, 8.4, 08/01/ 2020
17,18, 2020, 07/01, 10.2, 07/01/ 2020
18,19, 2020, 06/01, 11.0, 06/01/ 2020
19,20, 2020, 05/01, 13.2, 05/01/ 2020
20,21, 2020, 04/01, 14.7, 04/01/ 2020
21,22, 2020, 03/01, 4.4, 03/01/ 2020
22,23, 2020, 02/01, 3.5, 02/01/ 2020
23,24, 2020, 01/01, 3.5, 01/01/ 2020
24,25, 2019, 12/01, 3.6, 12/01/ 2019
25,26, 2019, 11/01, 3.6, 11/01/ 2019
26,27, 2019, 10/01, 3.6, 10/01/ 2019
27,28, 2019, 09/01, 3.5, 09/01/ 2019
28,29, 2019, 08/01, 3.7, 08/01/ 2019
29,30, 2019, 07/01, 3.7, 07/01/ 2019
30,31, 2019, 06/01, 3.6, 06/01/ 2019
31,32, 2019, 05/01, 3.6, 05/01/ 2019
32,33, 2019, 04/01, 3.6, 04/01/ 2019
33,34, 2019, 03/01, 3.8, 03/01/ 2019
34,35, 2019, 02/01, 3.8, 02/01/ 2019
35,36, 2019, 01/01, 4.0, 01/01/ 2019
36,37, 2018, 12/01, 3.9, 12/01/ 2018
37,38, 2018, 11/01, 3.8, 11/01/ 2018
38,39, 2018, 10/01, 3.8, 10/01/ 2018
39,40, 2018, 09/01, 3.7, 09/01/ 2018
40,41, 2018, 08/01, 3.8, 08/01/ 2018
41,42, 2018, 07/01, 3.8, 07/01/ 2018
42,43, 2018, 06/01, 4.0, 06/01/ 2018
43,44, 2018, 05/01, 3.8, 05/01/ 2018
44,45, 2018, 04/01, 4.0, 04/01/ 2018
45,46, 2018, 03/01, 4.0, 03/01/ 2018
46,47, 2018, 02/01, 4.1, 02/01/ 2018
47,48, 2018, 01/01, 4.0, 01/01/ 2018
48,49, 2017, 12/01, 4.1, 12/01/ 2017
49,50, 2017, 11/01, 4.2, 11/01/ 2017
50,51, 2017, 10/01, 4.2, 10/01/ 2017
51,52, 2017, 09/01, 4.3, 09/01/ 2017
52,53, 2017, 08/01, 4.4, 08/01/ 2017
53,54, 2017, 07/01, 4.3, 07/01/ 2017
54,55, 2017, 06/01, 4.3, 06/01/ 2017
55,56, 2017, 05/01, 4.4, 05/01/ 2017
56,57, 2017, 04/01, 4.4, 04/01/ 2017
57,58, 2017, 03/01, 4.4, 03/01/ 2017
58,59, 2017, 02/01, 4.6, 02/01/ 2017
59,60, 2017, 01/01, 4.7, 01/01/ 2017
60,61, 2016, 12/01, 4.7, 12/01/ 2016
61,62, 2016, 11/01, 4.7, 11/01/ 2016
62,63, 2016, 10/01, 4.9, 10/01/ 2016
63,64, 2016, 09/01, 5.0, 09/01/ 2016
64,65, 2016, 08/01, 4.9, 08/01/ 2016
65,66, 2016, 07/01, 4.8, 07/01/ 2016
66,67, 2016, 06/01, 4.9, 06/01/ 2016
67,68, 2016, 05/01, 4.8, 05/01/ 2016
68,69, 2016, 04/01, 5.1, 04/01/ 2016
